name,sex,total
ורדה,F,3288
שובל,F,3282
אליס,F,3257
ראיד,M,3229
לואי,M,3226
נביל,M,3224
עליה,F,3210
צופיה,F,3201
עמאר,M,3200
לילי,F,3191
פיראס,M,3191
לב,M,3189
אילון,M,3188
ליאם,F,3184
מהדי,M,3174
מראם,F,3169
כרמית,F,3168
ג'ואד,M,3167
רוברט,M,3167
זיין,M,3164
סיהאם,F,3160
פלג,M,3158
מיכאלה,F,3158
שרונה,F,3154
יולי,F,3152
מאהר,M,3147
אמאני,F,3145
הגר,F,3143
יגל,M,3141
סאלם,M,3139
מנאר,F,3133
מלאק,M,3132
מרי,F,3131
קוסאי,M,3112
עובדיה,M,3102
ארקדי,M,3100
סלאח,M,3078
איהאם,M,3072
רננה,F,3069
מרואן,M,3068
סמאח,F,3068
ירין,F,3066
יארא,F,3045
גולן,M,3039
לודמילה,F,3038
סועאד,F,3033
מוהנד,M,3029
רם,M,3021
רשא,F,3011
תאופיק,M,3007
אינס,F,3004
אושרת,F,3001
פבל,M,2997
ליאו,M,2994
אמונה,F,2983
נאיה,F,2976
אלמוג,F,2962
חדוה,F,2958
סברין,F,2948
מור,M,2947
גזל,F,2936
קאסם,M,2931
מלי,F,2924
יאנה,F,2918
רגד,F,2916
אוסנת,F,2913
ג'מיל,M,2912
רביע,M,2907
סגא,F,2904
מיאר,F,2901
שמשון,M,2900
ראניה,F,2895
סחר,F,2887
פולינה,F,2887
לינדה,F,2878
רזאן,F,2874
בני,M,2871
נואל,F,2862
מועתז,M,2853
בראאה,F,2848
לורן,F,2845
עמרם,M,2844
ריטה,F,2842
ליליאן,F,2834
שירז,F,2828
צחי,M,2822
מייס,F,2821
אן,F,2809
יקטרינה,F,2801
אלימלך,M,2801
יפתח,M,2797
סילין,F,2791
ואיל,M,2784
סנד,M,2782
רוחמה,F,2781
מוטי,M,2776
אוראל,F,2767
שימאא,F,2762
יוחנן,M,2760
סער,M,2757
אליאן,F,2750
הרצל,M,2748
לנא,F,2743
תסנים,F,2739
מיאל,F,2735
ריף,M,2734
סמיון,M,2732
עמליה,F,2720
סוזן,F,2717
סילביה,F,2714
עירית,F,2701
אמג'ד,M,2700
מיראל,F,2698
ריתאל,F,2695
למא,F,2684
מוניר,M,2679
מירא,F,2667
סימון,M,2666
אנטולי,M,2663
גאולה,F,2659
מריאנה,F,2656
עיסאם,M,2650
